frame_id,timestamp,source,object_type,object_id,x,y,w,h,confidence,track_id
9,0.3,yolo,player,player_1,1075.5631103515625,612.0642700195312,79.34326171875,217.81884765625,0.8521395921707153,4
9,0.3,yolo,player_foot,player_1_foot,1115.2347,829.8831,,,0.8521395921707153,4
9,0.3,yolo,player,player_2,684.1036987304688,179.3031463623047,72.37353515625,109.62281799316406,0.9670809507369995,1
9,0.3,yolo,player_foot,player_2_foot,720.29047,288.92596,,,0.9670809507369995,1
10,0.3333333333333333,yolo,player,player_1,1075.424560546875,612.0552978515625,79.24169921875,217.9293212890625,0.8576500415802002,4
10,0.3333333333333333,yolo,player_foot,player_1_foot,1115.0454,829.9846,,,0.8576500415802002,4
10,0.3333333333333333,yolo,player,player_2,683.748779296875,178.94224548339844,72.9617919921875,110.23655700683594,0.9651713371276855,1
10,0.3333333333333333,yolo,player_foot,player_2_foot,720.2297,289.1788,,,0.9651713371276855,1
11,0.36666666666666664,yolo,player,player_1,1075.408447265625,611.6612548828125,79.2490234375,218.41839599609375,0.8568803071975708,4
11,0.36666666666666664,yolo,player_foot,player_1_foot,1115.033,830.07965,,,0.8568803071975708,4
11,0.36666666666666664,yolo,player,player_2,683.6148681640625,178.76028442382812,73.2587890625,110.37640380859375,0.9636899828910828,1
11,0.36666666666666664,yolo,player_foot,player_2_foot,720.24426,289.1367,,,0.9636899828910828,1
12,0.4,yolo,player,player_1,1075.2340087890625,611.2476196289062,79.253662109375,219.092529296875,0.8591086268424988,4
12,0.4,yolo,player_foot,player_1_foot,1114.8608,830.34015,,,0.8591086268424988,4
12,0.4,yolo,player,player_2,683.4881591796875,178.64462280273438,73.493896484375,110.4759521484375,0.9717881083488464,1
12,0.4,yolo,player_foot,player_2_foot,720.2351,289.12057,,,0.9717881083488464,1
13,0.43333333333333335,yolo,player,player_1,1075.127685546875,610.9077758789062,79.17822265625,219.68414306640625,0.8619292974472046,4
13,0.43333333333333335,yolo,player_foot,player_1_foot,1114.7168,830.5919,,,0.8619292974472046,4
13,0.43333333333333335,yolo,player,player_2,683.2061767578125,177.8960418701172,73.9208984375,111.00419616699219,0.9652831554412842,1
13,0.43333333333333335,yolo,player_foot,player_2_foot,720.1666,288.90024,,,0.9652831554412842,1
14,0.4666666666666667,yolo,player,player_1,1075.0880126953125,610.8809204101562,78.9423828125,219.86151123046875,0.8652361631393433,4
